stock_id,name,composite_score
8046,南電,10.4
3037,欣興,4.2
3026,禾伸堂,3.8
2408,南亞科,3.7
6488,環球晶,2.7
2308,台達電,2.4
2454,聯發科,2.0
2408,南亞科技,1.7
6505,台塑石化,1.3
8046,南亞電路,1.3
