stock_id,name,composite_score
3037,欣興,9.2
3653,健策精密,8.1
3231,緯創資通,7.8
3711,日月光投控,6.8
2327,國巨*,5.7
3008,大立光,5.2
3189,景碩,4.8
1815,富喬,4.6
2408,南亞科技,4.4
2330,台積電,4.3
