stock_id,name,composite_score
2327,國巨*,15.3
4958,臻鼎-KY,2.8
6415,矽力*-KY,2.7
6274,台燿,2.3
3211,順達,2.0
3081,聯亞光電工業,1.3
1802,台灣玻璃工業,1.2
4958,臻鼎科技控股,1.1
6488,環球晶,1.1
6187,萬潤,1.0
